Paises;Poblacion;Anno;Emisiones_Anno;Emisiones_Anno_Millones_Toneladas;Continente;PIB
Afghanistan;43372950;2023;11020218;11,02;Asia;Bajo PIB per capita
Albania;2826020;2023;5144279;5,14;Europa;Bajo PIB per capita
Algeria;46278750;2023;178132770;178,13;Africa;Bajo PIB per capita
Angola;37976880;2023;20780540;20,78;Africa;Bajo PIB per capita
Argentina;46057866;2023;195805970;195,81;America;Bajo PIB per capita
Armenia;2777970;2023;7608323;7,61;Asia;Bajo PIB per capita
Australia;26699482;2023;382972000;382,97;Oceania;Alto PIB per capita
Austria;8977140;2023;58578050;58,58;Europa;Alto PIB per capita
Azerbaijan;10448550;2023;43936972;43,94;Asia;Bajo PIB per capita
Bahrain;1498712;2023;36526764;36,53;Asia;Alto PIB per capita
Bangladesh;174701211;2023;113426860;113,43;Asia;Bajo PIB per capita
Belarus;9455037;2023;56490772;56,49;Europa;Bajo PIB per capita
Belgium;11800154;2023;83368480;83,37;Europa;Alto PIB per capita
Benin;14080072;2023;5592317;5,59;Africa;Bajo PIB per capita
Bolivia;12388571;2023;23359406;23,36;America;Bajo PIB per capita
Bosnia and Herzegovina;3194378;2023;20179128;20,18;Europa;Bajo PIB per capita
Botswana;2675352;2023;6713559;6,71;Africa;Bajo PIB per capita
Brazil;217637297;2023;486470080;486,47;America;Bajo PIB per capita
Bulgaria;6618615;2023;36093596;36,09;Europa;Bajo PIB per capita
Burkina Faso;23840247;2023;6186583;6,19;Africa;Bajo PIB per capita
Burundi;13591657;2023;709700;0,71;Africa;Bajo PIB per capita
Cambodia;17121847;2023;20178442;20,18;Asia;Bajo PIB per capita
Cameroon;29394433;2023;9941406;9,94;Africa;Bajo PIB per capita
Canada;39107046;2023;549299000;549,30;America;Alto PIB per capita
Central African Republic;5915627;2023;281213;0,28;Africa;Bajo PIB per capita
Chad;18847148;2023;3079389;3,08;Africa;Bajo PIB per capita
Chile;19658839;2023;77287704;77,29;America;Alto PIB per capita
China;1425178782;2023;11902503000;11902,50;Asia;Bajo PIB per capita
Colombia;52340774;2023;105238664;105,24;America;Bajo PIB per capita
Congo;6244547;2023;7674340;7,67;Africa;Bajo PIB per capita
Costa Rica;5246714;2023;8279033;8,28;America;Bajo PIB per capita
Cote d'Ivoire;29603302;2023;13195601;13,20;Africa;Bajo PIB per capita
Croatia;3986627;2023;17524080;17,52;Europa;Bajo PIB per capita
Cuba;11174587;2023;23097436;23,10;America;Bajo PIB per capita
Cyprus;1260138;2023;7174221;7,17;Asia;Alto PIB per capita
Czechia;10702596;2023;85624184;85,62;Europa;Alto PIB per capita
Democratic Republic of Congo;105211123;2023;4615953;4,62;Africa;Bajo PIB per capita
Denmark;5939695;2023;27264778;27,26;Europa;Alto PIB per capita
Djibouti;1152329;2023;492543;0,49;Africa;Bajo PIB per capita
Dominican Republic;11434005;2023;32019646;32,02;America;Bajo PIB per capita
East Timor;1360596;2023;632121;0,63;Asia;Bajo PIB per capita
Ecuador;18377367;2023;43172870;43,17;America;Bajo PIB per capita
Egypt;114484252;2023;269006200;269,01;Africa;Bajo PIB per capita
El Salvador;6396289;2023;8230260;8,23;America;Bajo PIB per capita
Equatorial Guinea;1754993;2023;6141370;6,14;Africa;Bajo PIB per capita
Eritrea;3817651;2023;620764;0,62;Africa;Bajo PIB per capita
Estonia;1322765;2023;10018740;10,02;Europa;Alto PIB per capita
Eswatini;1222075;2023;1104210;1,10;Africa;Bajo PIB per capita
Ethiopia;129719719;2023;15227142;15,23;Africa;Bajo PIB per capita
Finland;5549886;2023;31622000;31,62;Europa;Alto PIB per capita
France;68521974;2023;272475840;272,48;Europa;Alto PIB per capita
Gabon;2484557;2023;5410930;5,41;Africa;Bajo PIB per capita
Gambia;2841803;2023;710899;0,71;Africa;Bajo PIB per capita
Georgia;3717425;2023;11768941;11,77;Asia;Bajo PIB per capita
Germany;83294633;2023;596151360;596,15;Europa;Alto PIB per capita
Ghana;34400989;2023;19647176;19,65;Africa;Bajo PIB per capita
Greece;10341277;2023;55196200;55,20;Europa;Alto PIB per capita
Guatemala;18358430;2023;20382320;20,38;America;Bajo PIB per capita
Guinea;14528770;2023;4042787;4,04;Africa;Bajo PIB per capita
Guinea-Bissau;2197149;2023;298003;0,30;Africa;Bajo PIB per capita
Haiti;11867030;2023;3522026;3,52;America;Bajo PIB per capita
Honduras;10793850;2023;11042214;11,04;America;Bajo PIB per capita
Hong Kong;7491609;2023;33871056;33,87;Asia;Alto PIB per capita
Hungary;9994993;2023;40190156;40,19;Europa;Alto PIB per capita
India;1441719852;2023;3062324500;3062,32;Asia;Bajo PIB per capita
Indonesia;279798049;2023;733223940;733,22;Asia;Bajo PIB per capita
Iran;89809781;2023;817879900;817,88;Asia;Bajo PIB per capita
Iraq;46523657;2023;176457950;176,46;Asia;Bajo PIB per capita
Ireland;5089478;2023;34432788;34,43;Europa;Alto PIB per capita
Israel;9311652;2023;59489496;59,49;Asia;Alto PIB per capita
Italy;58870762;2023;313460640;313,46;Europa;Alto PIB per capita
Jamaica;2824738;2023;7648698;7,65;America;Bajo PIB per capita
Japan;123950000;2023;988784700;988,78;Asia;Alto PIB per capita
Jordan;11384922;2023;21188884;21,19;Asia;Alto PIB per capita
Kazakhstan;19828165;2023;255161470;255,16;Asia;Alto PIB per capita
Kenya;56203030;2023;21531040;21,53;Africa;Bajo PIB per capita
Kosovo;1663034;2023;8376729;8,38;Europa;Bajo PIB per capita
Kuwait;4349380;2023;99233390;99,23;Asia;Alto PIB per capita
Kyrgyzstan;6839606;2023;10152343;10,15;Asia;Bajo PIB per capita
Laos;7736378;2023;24796292;24,80;Asia;Bajo PIB per capita
Latvia;1810240;2023;6512889;6,51;Europa;Alto PIB per capita
Lebanon;5257501;2023;19475458;19,48;Asia;Bajo PIB per capita
Lesotho;2356083;2023;3888782;3,89;Africa;Bajo PIB per capita
Liberia;5536949;2023;771001;0,77;Africa;Bajo PIB per capita
Libya;6964197;2023;60975930;60,98;Africa;Bajo PIB per capita
Lithuania;2891215;2023;12461681;12,46;Europa;Alto PIB per capita
Madagascar;31056610;2023;4476379;4,48;Africa;Bajo PIB per capita
Malawi;21475962;2023;1752411;1,75;Africa;Bajo PIB per capita
Malaysia;34671895;2023;288823680;288,82;Asia;Alto PIB per capita
Mali;23904983;2023;6761669;6,76;Africa;Bajo PIB per capita
Mauritania;4862989;2023;4412598;4,41;Africa;Bajo PIB per capita
Mauritius;1301978;2023;4138937;4,14;Africa;Alto PIB per capita
Mexico;129388467;2023;482623460;482,62;America;Alto PIB per capita
Moldova;3329865;2023;5962224;5,96;Europa;Bajo PIB per capita
Mongolia;3480040;2023;46869964;46,87;Asia;Bajo PIB per capita
Morocco;38211459;2023;68667610;68,67;Africa;Bajo PIB per capita
Mozambique;34858402;2023;8023384;8,02;Africa;Bajo PIB per capita
Myanmar;54964694;2023;30233224;30,23;Asia;Bajo PIB per capita
Namibia;2641857;2023;4174205;4,17;Africa;Bajo PIB per capita
Nepal;31240315;2023;16677210;16,68;Asia;Bajo PIB per capita
Netherlands;17618299;2023;118668370;118,67;Europa;Alto PIB per capita
New Zealand;5269939;2023;30119236;30,12;Oceania;Alto PIB per capita
Nicaragua;7159689;2023;5588379;5,59;America;Bajo PIB per capita
Niger;28238972;2023;2597634;2,60;Africa;Bajo PIB per capita
Nigeria;229152217;2023;128539720;128,54;Africa;Bajo PIB per capita
North Korea;26244582;2023;60764244;60,76;Asia;Bajo PIB per capita
North Macedonia;2082706;2023;7448824;7,45;Europa;Bajo PIB per capita
Norway;5514477;2023;38901000;38,90;Europa;Alto PIB per capita
Oman;4713553;2023;78511300;78,51;Asia;Alto PIB per capita
Pakistan;245209815;2023;200666690;200,67;Asia;Bajo PIB per capita
Palestine;5494963;2023;3496897;3,50;Asia;Bajo PIB per capita
Panama;4527961;2023;14018338;14,02;America;Alto PIB per capita
Papua;10515788;2023;8322015;8,32;Oceania;Bajo PIB per capita
Paraguay;6947270;2023;8139286;8,14;America;Bajo PIB per capita
Peru;34683444;2023;55863636;55,86;America;Alto PIB per capita
Philippines;119106224;2023;154578660;154,58;Asia;Bajo PIB per capita
Poland;41026067;2023;289281540;289,28;Europa;Alto PIB per capita
Portugal;10467366;2023;37228136;37,23;Europa;Alto PIB per capita
Qatar;2730864;2023;115711816;115,71;Asia;Alto PIB per capita
Romania;19892812;2023;68239480;68,24;Europa;Alto PIB per capita
Russia;144444359;2023;1815924700;1815,92;Europa;Alto PIB per capita
Rwanda;14414910;2023;1540220;1,54;Africa;Bajo PIB per capita
Saudi Arabia;37473929;2023;736205300;736,21;Asia;Alto PIB per capita
Senegal;18221567;2023;11900644;11,90;Africa;Bajo PIB per capita
Serbia;7097028;2023;42357788;42,36;Europa;Bajo PIB per capita
Sierra Leone;9212678;2023;1231506;1,23;Africa;Bajo PIB per capita
Singapore;6052709;2023;49252784;49,25;Asia;Alto PIB per capita
Slovakia;5702832;2023;30739160;30,74;Europa;Alto PIB per capita
Slovenia;2118965;2023;11328390;11,33;Europa;Alto PIB per capita
Somalia;18384619;2023;557614;0,56;Africa;Bajo PIB per capita
South Africa;61020221;2023;401893100;401,89;Africa;Bajo PIB per capita
South Korea;51741963;2023;577416640;577,42;Asia;Alto PIB per capita
South Sudan;11277092;2023;1580456;1,58;Africa;Bajo PIB per capita
Spain;48051906;2023;221615650;221,62;Europa;Alto PIB per capita
Sri Lanka;21949268;2023;20317522;20,32;Asia;Bajo PIB per capita
Sudan;49358228;2023;20001454;20,00;Africa;Bajo PIB per capita
Sweden;10673669;2023;36556280;36,56;Europa;Alto PIB per capita
Switzerland;8851431;2023;32737300;32,74;Europa;Alto PIB per capita
Syria;24348053;2023;25503272;25,50;Asia;Bajo PIB per capita
Taiwan;23942522;2023;261152590;261,15;Asia;Alto PIB per capita
Tajikistan;10331513;2023;9054525;9,05;Asia;Bajo PIB per capita
Tanzania;69176272;2023;18066046;18,07;Africa;Bajo PIB per capita
Thailand;71885799;2023;264388640;264,39;Asia;Alto PIB per capita
Togo;9260864;2023;2620035;2,62;Africa;Bajo PIB per capita
Trinidad and Tobago;1538200;2023;34317936;34,32;America;Alto PIB per capita
Tunisia;12564689;2023;32792874;32,79;Africa;Alto PIB per capita
Turkey;86260417;2023;432077340;432,08;Asia;Alto PIB per capita
Turkmenistan;6598071;2023;63362624;63,36;Asia;Bajo PIB per capita
Uganda;49924252;2023;5613657;5,61;Africa;Bajo PIB per capita
Ukraine;37937821;2023;136460590;136,46;Europa;Alto PIB per capita
United Arab Emirates;9591853;2023;229383650;229,38;Asia;Alto PIB per capita
United Kingdom;67961439;2023;305146340;305,15;Europa;Alto PIB per capita
United States;341814420;2023;4911391000;4911,39;America;Alto PIB per capita
Uruguay;3423316;2023;7865945;7,87;America;Alto PIB per capita
Uzbekistan;35673804;2023;124768440;124,77;Asia;Bajo PIB per capita
Venezuela;28838499;2023;99568900;99,57;America;Alto PIB per capita
Vietnam;99497680;2023;334726080;334,73;Asia;Bajo PIB per capita
Yemen;35219853;2023;10034892;10,03;Asia;Bajo PIB per capita
Zambia;21134695;2023;7748922;7,75;Africa;Bajo PIB per capita
Zimbabwe;17020321;2023;11164030;11,16;Africa;Bajo PIB per capita
